season,manager,club
2000,Jürgen Klopp,Liverpool FC
2000,Mark Robins,Coventry City
2000,Mikel Arteta,Arsenal FC
2000,David Moyes,West Ham United
2000,Eddie Howe,Newcastle United
2000,Erik ten Hag,Manchester United
2000,Paul Warne,Derby County
2000,Michael Carrick,Middlesbrough FC
2000,Unai Emery,Aston Villa
2000,Sean Dyche,Everton FC
2000,Mauricio Pochettino,Chelsea FC
2000,Enzo Maresca,Leicester City
2000,Valérien Ismaël,Watford FC
2000,Ange Postecoglou,Tottenham Hotspur
2000,Russell Martin,Southampton FC
2000,Daniel Farke,Leeds United
2000,Danny Röhl,Sheffield Wednesday
2000,Graham Alexander,Bradford City
2000,Mike Dodds,Sunderland AFC
2001,Jürgen Klopp,Liverpool FC
2001,Pep Guardiola,Manchester City
2001,Mark Robins,Coventry City
2001,Mikel Arteta,Arsenal FC
2001,David Moyes,West Ham United
2001,Eddie Howe,Newcastle United
2001,Kieran McKenna,Ipswich Town
2001,Erik ten Hag,Manchester United
2001,Paul Warne,Derby County
2001,Michael Carrick,Middlesbrough FC
2001,Unai Emery,Aston Villa
2001,Sean Dyche,Everton FC
2001,Mauricio Pochettino,Chelsea FC
2001,Enzo Maresca,Leicester City
2001,Ange Postecoglou,Tottenham Hotspur
2001,Russell Martin,Southampton FC
2001,Daniel Farke,Leeds United
2001,Michael Appleton,Charlton Athletic
2001,Graham Alexander,Bradford City
2001,Mike Dodds,Sunderland AFC
2002,Jürgen Klopp,Liverpool FC
2002,Mikel Arteta,Arsenal FC
2002,David Moyes,West Ham United
2002,Ian Evatt,Bolton Wanderers
2002,Marco Silva,Fulham FC
2002,Eddie Howe,Newcastle United
2002,Kieran McKenna,Ipswich Town
2002,Jon Dahl Tomasson,Blackburn Rovers
2002,Erik ten Hag,Manchester United
2002,Paul Warne,Derby County
2002,Michael Carrick,Middlesbrough FC
2002,Unai Emery,Aston Villa
2002,Sean Dyche,Everton FC
2002,Ange Postecoglou,Tottenham Hotspur
2002,Russell Martin,Southampton FC
2002,Mauricio Pochettino,Chelsea FC
2002,Enzo Maresca,Leicester City
2002,Daniel Farke,Leeds United
2002,Michael Appleton,Charlton Athletic
2002,Mike Dodds,Sunderland AFC
2003,Jürgen Klopp,Liverpool FC
2003,Pep Guardiola,Manchester City
2003,Mikel Arteta,Arsenal FC
2003,David Moyes,West Ham United
2003,Ian Evatt,Bolton Wanderers
2003,Marco Silva,Fulham FC
2003,Eddie Howe,Newcastle United
2003,Jon Dahl Tomasson,Blackburn Rovers
2003,Erik ten Hag,Manchester United
2003,Michael Carrick,Middlesbrough FC
2003,Carlos Corberán,West Bromwich Albion
2003,Unai Emery,Aston Villa
2003,Sean Dyche,Everton FC
2003,Mauricio Pochettino,Chelsea FC
2003,Ange Postecoglou,Tottenham Hotspur
2003,Russell Martin,Southampton FC
2003,Daniel Farke,Leeds United
2003,Michael Appleton,Charlton Athletic
2003,Wayne Rooney,Birmingham City
2003,Mike Dodds,Sunderland AFC
2004,Jürgen Klopp,Liverpool FC
2004,Pep Guardiola,Manchester City
2004,Mikel Arteta,Arsenal FC
2004,Ian Evatt,Bolton Wanderers
2004,Marco Silva,Fulham FC
2004,Eddie Howe,Newcastle United
2004,Jon Dahl Tomasson,Blackburn Rovers
2004,Erik ten Hag,Manchester United
2004,Michael Carrick,Middlesbrough FC
2004,Unai Emery,Aston Villa
2004,John Mousinho,Portsmouth FC
2004,Sean Dyche,Everton FC
2004,Russell Martin,Southampton FC
2004,Ange Postecoglou,Tottenham Hotspur
2004,Enzo Maresca,Leicester City
2004,Mauricio Pochettino,Chelsea FC
2004,Daniel Farke,Leeds United
2004,Gary O'Neil,Wolverhampton Wanderers
2004,Michael Appleton,Charlton Athletic
2004,Wayne Rooney,Birmingham City
2005,Jürgen Klopp,Liverpool FC
2005,Pep Guardiola,Manchester City
2005,Mikel Arteta,Arsenal FC
2005,Ian Evatt,Bolton Wanderers
2005,Marco Silva,Fulham FC
2005,Eddie Howe,Newcastle United
2005,Jon Dahl Tomasson,Blackburn Rovers
2005,Erik ten Hag,Manchester United
2005,Michael Carrick,Middlesbrough FC
2005,Carlos Corberán,West Bromwich Albion
2005,Unai Emery,Aston Villa
2005,David Wagner,Norwich City
2005,John Mousinho,Portsmouth FC
2005,Sean Dyche,Everton FC
2005,Roy Hodgson,Crystal Palace
2005,Russell Martin,Southampton FC
2005,Ange Postecoglou,Tottenham Hotspur
2005,Mauricio Pochettino,Chelsea FC
2005,Michael Appleton,Charlton Athletic
2005,Wayne Rooney,Birmingham City
2006,Jürgen Klopp,Liverpool FC
2006,Pep Guardiola,Manchester City
2006,Mikel Arteta,Arsenal FC
2006,David Moyes,West Ham United
2006,Ian Evatt,Bolton Wanderers
2006,Marco Silva,Fulham FC
2006,Eddie Howe,Newcastle United
2006,Erik ten Hag,Manchester United
2006,Jon Dahl Tomasson,Blackburn Rovers
2006,Carlos Corberán,West Bromwich Albion
2006,Michael Carrick,Middlesbrough FC
2006,Unai Emery,Aston Villa
2006,John Mousinho,Portsmouth FC
2006,Shaun Maloney,Wigan Athletic
2006,Sean Dyche,Everton FC
2006,Ange Postecoglou,Tottenham Hotspur
2006,Mauricio Pochettino,Chelsea FC
2006,Michael Appleton,Charlton Athletic
2006,Wayne Rooney,Birmingham City
2006,Mike Dodds,Sunderland AFC
2007,Jürgen Klopp,Liverpool FC
2007,Pep Guardiola,Manchester City
2007,Mikel Arteta,Arsenal FC
2007,David Moyes,West Ham United
2007,Ian Evatt,Bolton Wanderers
2007,Marco Silva,Fulham FC
2007,Eddie Howe,Newcastle United
2007,Jon Dahl Tomasson,Blackburn Rovers
2007,Erik ten Hag,Manchester United
2007,Michael Carrick,Middlesbrough FC
2007,Unai Emery,Aston Villa
2007,John Mousinho,Portsmouth FC
2007,Shaun Maloney,Wigan Athletic
2007,Sean Dyche,Everton FC
2007,Mauricio Pochettino,Chelsea FC
2007,Rubén Sellés,Reading FC
2007,Valérien Ismaël,Watford FC
2007,Ange Postecoglou,Tottenham Hotspur
2007,Michael Appleton,Charlton Athletic
2007,Chris Wilder,Sheffield United
2008,Jürgen Klopp,Liverpool FC
2008,Pep Guardiola,Manchester City
2008,Mikel Arteta,Arsenal FC
2008,David Moyes,West Ham United
2008,Ian Evatt,Bolton Wanderers
2008,Marco Silva,Fulham FC
2008,Eddie Howe,Newcastle United
2008,Jon Dahl Tomasson,Blackburn Rovers
2008,Erik ten Hag,Manchester United
2008,Paul Warne,Derby County
2008,Michael Carrick,Middlesbrough FC
2008,Unai Emery,Aston Villa
2008,John Mousinho,Portsmouth FC
2008,Shaun Maloney,Wigan Athletic
2008,Sean Dyche,Everton FC
2008,Rubén Sellés,Reading FC
2008,Ange Postecoglou,Tottenham Hotspur
2008,Mauricio Pochettino,Chelsea FC
2008,Wayne Rooney,Birmingham City
2008,Mike Dodds,Sunderland AFC
2009,Jürgen Klopp,Liverpool FC
2009,Pep Guardiola,Manchester City
2009,Mikel Arteta,Arsenal FC
2009,David Moyes,West Ham United
2009,Ian Evatt,Bolton Wanderers
2009,Marco Silva,Fulham FC
2009,Eddie Howe,Newcastle United
2009,Erik ten Hag,Manchester United
2009,Jon Dahl Tomasson,Blackburn Rovers
2009,Alex Neil,Stoke City
2009,Carlos Corberán,West Bromwich Albion
2009,Michael Carrick,Middlesbrough FC
2009,Unai Emery,Aston Villa
2009,Liam Rosenior,Hull City
2009,John Mousinho,Portsmouth FC
2009,Shaun Maloney,Wigan Athletic
2009,Sean Dyche,Everton FC
2009,Mauricio Pochettino,Chelsea FC
2009,Ange Postecoglou,Tottenham Hotspur
2009,Mike Dodds,Sunderland AFC
2010,Jürgen Klopp,Liverpool FC
2010,Pep Guardiola,Manchester City
2010,Mikel Arteta,Arsenal FC
2010,David Moyes,West Ham United
2010,Ian Evatt,Bolton Wanderers
2010,Marco Silva,Fulham FC
2010,Jon Dahl Tomasson,Blackburn Rovers
2010,Erik ten Hag,Manchester United
2010,Vincent Kompany,Burnley FC
2010,Alex Neil,Stoke City
2010,Unai Emery,Aston Villa
2010,Liam Rosenior,Hull City
2010,John Mousinho,Portsmouth FC
2010,Shaun Maloney,Wigan Athletic
2010,Sean Dyche,Everton FC
2010,Mauricio Pochettino,Chelsea FC
2010,Ange Postecoglou,Tottenham Hotspur
2010,Gary O'Neil,Wolverhampton Wanderers
2010,Wayne Rooney,Birmingham City
2010,Mike Dodds,Sunderland AFC
2011,Jürgen Klopp,Liverpool FC
2011,Pep Guardiola,Manchester City
